Nickname,bandgap(eV),c_smiles,newSMILES,Ref.No,bdt,fluorene,cpdt,tdt,others
PDTTDPP-BO,1.39,CCCCCCCCCCCCc1cc(C)sc1-c1cc2sc3cc(-c4sc(-c5ccc(C6=C7C(=O)N(CC(CCCC)CCCCCC)C(c8ccc(C)s8)=C7C(=O)N6CC(CCCC)CCCCCC)s5)cc4CCCCCCCCCCCC)sc3c2s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc(C)c(s1)-c1cc2sc3cc(sc3c2s1)-c1sc(C)cc1C,S499,0,0,1,0,0
PIDTT-DTBT,1.72,CCCCC(CC)COc1ccc(C2(c3ccc(OCC(CC)CCCC)cc3)c3cc4c(cc3-c3sc5cc(C)sc5c32)C(c2ccc(OCC(CC)CCCC)cc2)(c2ccc(OCC(CC)CCCC)cc2)c2c-4sc3cc(-c4ccc(-c5ccc(-c6ccc(C)s6)c6nsnc56)s4)sc23)cc1,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2cc3sc4-c5cc6c(cc5C(c4c3s2)(c2ccccc2)c2ccccc2)-c2sc3cc(C)sc3c2C6(c2ccccc2)c2ccccc2)c2nsnc12,S496,0,0,0,1,0
P2,1.82,CCCCCCCCc1cc(-c2sc(-c3cc(CCCCCCCC)c(-c4cc5c(-c6ccc(-c7ccc(OCC(CC)CCCC)c(F)c7)s6)c6sc(C)cc6c(-c6ccc(-c7ccc(OCC(CC)CCCC)c(F)c7)s6)c5s4)s3)c3c2C(=O)N(CC(CC)CCCC)C3=O)sc1C,CN1C(=O)c2c(sc(-c3cc(C)c(s3)-c3cc4c(-c5cccs5)c5sc(cc5c(-c5cccs5)c4s3)-c3sc(cc3C)-c3sc(-c4cc(C)c(s4)-c4cc5c(-c6cccs6)c6sc(C)cc6c(-c6cccs6)c5s4)c4C(=O)N(C)C(=O)c34)c2C1=O)-c1cc(C)c(C)s1,S402,1,0,0,0,0
PNNTDT,1.64,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5cc6ccc7c(ccc8cc(C)sc87)c6s5)s4)c4nsnc43)c3nsnc23)sc1C,Cc1cc2ccc3c4sc(cc4ccc3c2s1)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(C)s1,S104,0,0,0,0,1
PTzNTz-BOBO,1.57,CCCCCCC(CCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCC)CCCCCC)c(-c5cc(CC(CCCC)CCCCCC)c(-c6nc7sc(-c8sc(C)cc8CC(CCCC)CCCCCC)nc7s6)s5)s4)c4nsnc43)c3nsnc23)sc1C,Cc1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(C)s1,S108,0,0,0,0,1
reg-PDPP/TPDalt2T,1.42,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4ccc(-c5sc(-c6ccc(-c7ccc(C)s7)s6)c6c5C(=O)N(C(CCCCCCCC)CCCCCCCC)C6=O)s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1C,CN1C(C)=C2C(=O)N(C)C(=C2C1=O)c1ccc(s1)-c1ccc(s1)-c1sc(-c2ccc(s2)-c2ccc(s2)C2=C3C(=O)N(C)C(=C3C(=O)N2C)c2ccc(s2)-c2ccc(s2)-c2sc(-c3ccc(s3)-c3ccc(C)s3)c3C(=O)N(C)C(=O)c23)c2C(=O)N(C)C(=O)c12,S94,0,0,0,0,1
PDTCTTPQX,1.48,CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc(C)sc3-c3sc4c5c(sc4c32)-c2sc(-c3ccc(C)c4nc6c7ccccc7c7ccccc7c6nc34)cc2C5(c2ccc(OCCCCCCCC)cc2)c2ccc(OCCCCCCCC)cc2)cc1,Cc1cc2c(s1)-c1sc3c4c(sc3c1C2(c1ccccc1)c1ccccc1)-c1sc(cc1C4(c1ccccc1)c1ccccc1)-c1ccc(-c2cc3c(s2)-c2sc4c5c(sc4c2C3(c2ccccc2)c2ccccc2)-c2sc(cc2C5(c2ccccc2)c2ccccc2)-c2ccc(C)c3nc4c5ccccc5c5ccccc5c4nc23)c2nc3c4ccccc4c4ccccc4c3nc12,S329,0,0,1,0,0
PDPP2TPCL,1.42,CCCCCCCCC(CCCCCC)Cn1c(=O)c2cc3c(cc2c2sc(C)cc21)c(=O)n(CC(CCCCCC)CCCCCCCC)c1cc(-c2ccc(C4=C5C(=O)N(CC(CC)CCCC)C(c6ccc(C)s6)=C5C(=O)N4CC(CC)CCCC)s2)sc31,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2n(C)c(=O)c3cc4c5sc(C)cc5n(C)c(=O)c4cc3c2s1,S478,0,0,0,0,1
PTzNTz-EHHD,1.58,CCCCCCCCC(CCCCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5cc(CC(CC)CCCC)c(-c6nc7sc(-c8sc(C)cc8CC(CC)CCCC)nc7s6)s5)s4)c4nsnc43)c3nsnc23)sc1C,Cc1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(C)s1,S108,0,0,0,0,1
PBDT-T-FBSe,1.6,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1ccc(-c2c3cc(-c4ccc(-c5c(F)cc(-c6ccc(C)s6)c6n[se]nc56)s4)sc3c(-c3ccc(CC(CCCCCCCCCC)CCCCCCCCCCCC)s3)c3cc(C)sc23)s1,Cc1ccc(s1)-c1cc(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2cc(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3n[se]nc23)c2n[se]nc12,S64,1,0,0,0,0
POAPPO-BDT (Pa),2.13,CCCCCCC(CCCC)COc1c2cc(C)sc2c(OC[C@H](CCCC)CCCCCC)c2cc(-c3ccc(-c4cc5c(=O)n(C[C@@H](CCCC)CCCCCC)c6cc(-c7ccc(C)s7)cc7c(=O)n(CC(CCCC)CCCCCC)c(c4)c5c76)s3)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(s1)-c1cc2n(C)c(=O)c3cc(cc4n(C)c(=O)c(c1)c2c34)-c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(s1)-c1cc2n(C)c(=O)c3cc(cc4n(C)c(=O)c(c1)c2c34)-c1ccc(C)s1,S154,1,0,0,0,0
PQS,1.73,CCCCCCCCCCCCc1cc(C)[se]c1-c1ccc(-c2ccc(-c3[se]c(-c4cc(CCCCCCCCCCCC)c(-c5ccc(-c6ccc(-c7[se]c(C)cc7CCCCCCCCCCCC)[se]6)[se]5)[se]4)cc3CCCCCCCCCCCC)[se]2)[se]1,Cc1cc(C)c([se]1)-c1ccc([se]1)-c1ccc([se]1)-c1[se]c(cc1C)-c1cc(C)c([se]1)-c1ccc([se]1)-c1ccc([se]1)-c1[se]c(C)cc1C,S377,0,0,0,0,1
PBDPP-2,1.45,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3ccc(-c4cc5c(-c6ccc(C[C@@H](CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(C[C@@H](CC)CCCC)s6)c5s4)s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1ccc(C)s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1,S45,1,0,0,0,0
PFQBDT-T2R2,1.77,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c(F)c(F)c(-c4ccc(-c5cc6c(-c7cc(CCCCCC)c(CCCCCC)s7)c7sc(C)cc7c(-c7cc(CCCCCC)c(CCCCCC)s7)c6s5)s4)c3nc2-c2cccc(OCCCCCCCC)c2)c1,Cc1ccc(s1)-c1c(F)c(F)c(-c2ccc(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2ccc(s2)-c2c(F)c(F)c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nc(-c4ccccc4)c(nc23)-c2ccccc2)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S252,1,0,0,0,0
POAPPO-BDT (Pc),2.21,CCCCCCC(CCCC)COc1nc2cc(-c3ccc(-c4cc5c(OC[C@H](CCCC)CCCCCC)c6sc(C)cc6c(OCC(CCCC)CCCCCC)c5s4)s3)cc3c(OCC(CCCC)CCCCCC)nc4cc(-c5ccc(C)s5)cc1c4c23,COc1nc2cc(cc3c(OC)nc4cc(cc1c4c23)-c1ccc(C)s1)-c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(s1)-c1cc2nc(OC)c3cc(cc4nc(OC)c(c1)c2c34)-c1ccc(s1)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1,S154,1,0,0,0,0
PTzBT-10HD,1.8,CCCCCCCCCCc1cc(C)sc1-c1nc2sc(-c3sc(-c4cc(CC(CCCCCC)CCCCCCCC)c(-c5nc6sc(-c7sc(C)cc7CC(CCCCCC)CCCCCCCC)nc6s5)s4)cc3CCCCCCCCCC)nc2s1,Cc1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(C)cc1C,S83,0,0,0,0,1
PBDPTTPD,1.77,CCCCCCCCC(CCCCCCCC)n1c2cc3c4sc(-c5ccc(C6=C7C(=O)N(CC(CC)CCCC)C(c8ccc(C)s8)=C7C(=O)N6CC(CC)CCCC)s5)cc4n(C(CCCCCCCC)CCCCCCCC)c3cc2c2sc(C)cc21,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1cc2n(C)c3cc4c(cc3c2s1)n(C)c1cc(C)sc41,S323,0,0,0,1,0
P2,2.04,CCCCCCCCCCc1ccc(C#Cc2c3cc(-c4cc5c(C#Cc6ccc(CCCCCCCCCC)cc6)c6sc(C)cc6c(C#Cc6ccc(CCCCCCCCCC)cc6)c5s4)oc3c(C#Cc3ccc(CCCCCCCCCC)cc3)c3cc(C)oc23)cc1,Cc1cc2c(C#C)c3oc(cc3c(C#C)c2o1)-c1cc2c(C#C)c3sc(cc3c(C#C)c2s1)-c1cc2c(C#C)c3oc(cc3c(C#C)c2o1)-c1cc2c(C#C)c3sc(C)cc3c(C#C)c2s1,S273,1,0,0,0,0
PQSQT,1.86,CCCCCCCCCCCCc1cc(C)sc1-c1ccc(-c2ccc(-c3sc(-c4cc(CCCCCCCCCCCC)c(-c5ccc(-c6ccc(-c7[se]c(C)cc7CCCCCCCCCCCC)[se]6)[se]5)[se]4)cc3CCCCCCCCCCCC)s2)s1,Cc1cc(C)c(s1)-c1ccc(s1)-c1ccc(s1)-c1sc(cc1C)-c1cc(C)c([se]1)-c1ccc([se]1)-c1ccc([se]1)-c1[se]c(C)cc1C,S377,0,0,0,0,1
POAPPO-BDT (Pb),2.19,CCCCCCC(CCCC)COc1nc2cc(-c3ccc(C)s3)cc3c(=O)n(CC(CCCC)CCCCCC)c4cc(-c5ccc(-c6cc7c(OC[C@H](CCCC)CCCCCC)c8sc(C)cc8c(OCC(CCCC)CCCCCC)c7s6)s5)cc1c4c23,COc1nc2cc(cc3c2c2c1cc(cc2n(C)c3=O)-c1ccc(s1)-c1cc2c(OC)c3sc(C)cc3c(OC)c2s1)-c1ccc(C)s1,S154,1,0,0,0,0
PDTCTTTPD,1.72,CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc(C)sc3-c3sc4c5c(sc4c32)-c2sc(-c3sc(C)c4c3C(=O)N(CCCCCCCC)C4=O)cc2C5(c2ccc(OCCCCCCCC)cc2)c2ccc(OCCCCCCCC)cc2)cc1,CN1C(=O)c2c(C)sc(-c3cc4c(s3)-c3sc5c6c(sc5c3C4(c3ccccc3)c3ccccc3)-c3sc(cc3C6(c3ccccc3)c3ccccc3)-c3sc(-c4cc5c(s4)-c4sc6c7c(sc6c4C5(c4ccccc4)c4ccccc4)-c4sc(C)cc4C7(c4ccccc4)c4ccccc4)c4C(=O)N(C)C(=O)c34)c2C1=O,S329,0,0,1,0,0
TP6,1.51,CCCCCCCCCCC(CCCCCCCCCC)n1c2cc(C)ccc2c2cc3c(cc21)c1ccc(-c2ccc(-c4sc(-c5ccc(C)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s2)cc1n3C(CCCCCCCCCC)CCCCCCCCCC,Cc1ccc(s1)-c1sc(-c2ccc(s2)-c2ccc3c(c2)n(C)c2cc4c(cc32)n(C)c2cc(C)ccc42)c2nc(-c3ccccc3)c(nc12)-c1ccccc1,S20,0,1,0,0,0
PIFDTQ10,1.97,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(C)ccc2-c2cc3c(cc21)-c1ccc(-c2ccc(-c4ccc(-c5ccc(C)s5)c5c4=NC(c4ccccc4)C(c4ccccc4)N=5)s2)cc1C3(CCCCCCCCCC)CCCCCCCCCC,Cc1ccc(s1)-c1ccc(-c2ccc(s2)-c2ccc3-c4cc5c(cc4C(C)(C)c3c2)-c2ccc(C)cc2C5(C)C)c2=NC(C(N=c12)c1ccccc1)c1ccccc1,S142,0,1,0,0,0
PBDT2FBT-T3,1.7,CCCCCCC(CCCC)Cc1ccc(-c2ccc(-c3ccc(-c4c5cc(-c6sc(-c7c(F)c(F)c(-c8cc(CC(CC)CCCC)c(C)s8)c8nsnc78)cc6CC(CC)CCCC)sc5c(-c5ccc(-c6ccc(-c7ccc(CC(CCCC)CCCCCC)s7)s6)s5)c5cc(C)sc45)s3)s2)s1,Cc1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S198,1,0,0,0,0
PBDT-PQD2,1.62,CCCCCCCCOc1cccc(-c2nc3c(-c4ccc(C)s4)c4c(c(-c5ccc(-c6cc7c(-c8ccc(CC(CC)CCCC)s8)c8sc(C)cc8c(-c8ccc(CC(CC)CCCC)s8)c7s6)s5)c3nc2-c2cccc(OCCCCCCCC)c2)C(=O)N(CC(CC)CCCC)C4=O)c1,CN1C(=O)c2c(C1=O)c(-c1ccc(s1)-c1cc3c(-c4cccs4)c4sc(cc4c(-c4cccs4)c3s1)-c1ccc(s1)-c1c3C(=O)N(C)C(=O)c3c(-c3ccc(s3)-c3cc4c(-c5cccs5)c5sc(C)cc5c(-c5cccs5)c4s3)c3nc(-c4ccccc4)c(nc13)-c1ccccc1)c1nc(-c3ccccc3)c(nc1c2-c1ccc(C)s1)-c1ccccc1,S255,1,0,0,0,0
PDFBC-DPP,1.53,CCCCCCCCC(CCCCCC)Cc1cc(-c2cc3nnc4cc(-c5cc(CC(CCCCCC)CCCCCCCC)c(-c6ccc(C7=C8C(=O)N(CC(CC)CCCC)C(c9ccc(C)s9)=C8C(=O)N7CC(CC)CCCC)s6)s5)c(F)cc4c3cc2F)sc1C,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1ccc(C)s1)c1ccc(s1)-c1sc(cc1C)-c1cc2nnc3cc(-c4cc(C)c(C)s4)c(F)cc3c2cc1F,S436,0,0,0,0,1
PTzQT-14,1.8,CCCCCCCCCCCCCCc1cc(C)sc1-c1cc(CCCCCCCCCCCCCC)c(-c2nc3sc(-c4sc(-c5sc(C)cc5CCCCCCCCCCCCCC)cc4CCCCCCCCCCCCCC)nc3s2)s1,Cc1cc(C)c(s1)-c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1sc(cc1C)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1nc2sc(nc2s1)-c1sc(cc1C)-c1sc(C)cc1C,S84,0,0,0,0,1
PTR7b,1.78,CCCCCCC(CCCC)COC(=O)c1sc2c(-c3cc4sc5c(OCC(CCCC)CCCCCC)c6c(sc7c6sc6c(OCC(CC)CCCC)c8cc(C)sc8c(OCC(CC)CCCC)c67)c(OCC(CCCC)CCCCCC)c5c4s3)sc(C)c2c1F,COC(=O)c1sc2c(sc(C)c2c1F)-c1cc2sc3c(OC)c4c(sc5c4sc4c(OC)c6cc(sc6c(OC)c54)-c4sc(-c5cc6sc7c(OC)c8c(sc9c8sc8c(OC)c%10cc(C)sc%10c(OC)c98)c(OC)c7c6s5)c5sc(C(=O)OC)c(F)c45)c(OC)c3c2s1,S283,1,0,0,1,0
PBDT-TIT,1.68,CCCCCCCCC(CCCCCC)CN1C(=O)/C(=C2/C(=O)N(CC(CCCCCC)CCCCCCCC)c3cc(-c4ccc(-c5cc6c(OCC(CC)CCCC)c7sc(C)cc7c(OCC(CC)CCCC)c6s5)s4)ccc32)c2ccc(-c3ccc(C)s3)cc21,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(s1)-c1ccc2\C(C(=O)N(C)c2c1)=C1/C(=O)N(C)c2cc(ccc12)-c1ccc(C)s1,S269,1,0,0,0,0
EBO-BO,1.68,CCCCCCC(CCCC)Cc1cc(-c2cc3c(cc(-c4cc(CC(CCCC)CCCCCC)c(-c5cc(CC(CCCC)CCCCCC)c(-c6nc7cc8sc(-c9sc(C)cc9CC(CCCC)CCCCCC)nc8cc7s6)s5)s4)c4nsnc43)c3nsnc23)sc1C,Cc1cc(C)c(s1)-c1nc2cc3sc(nc3cc2s1)-c1sc(cc1C)-c1sc(cc1C)-c1cc2c3nsnc3c(cc2c2nsnc12)-c1cc(C)c(C)s1,S265,0,0,0,0,1
PBDT(ff)-ttTPD,1.91,CCCCCCCCc1c(C)sc2cc(-c3sc(-c4cc5sc(-c6cc7c(-c8sc(CC(CC)CCCC)c(F)c8F)c8sc(C)cc8c(-c8sc(CC(CC)CCCC)c(F)c8F)c7s6)c(CCCCCCCC)c5s4)c4c3C(=O)N(CC(CCCCCC)CCCCCCCC)C4=O)sc12,CN1C(=O)c2c(sc(-c3cc4sc(c(C)c4s3)-c3cc4c(-c5scc(F)c5F)c5sc(C)cc5c(-c5scc(F)c5F)c4s3)c2C1=O)-c1cc2sc(C)c(C)c2s1,S448,1,0,0,0,0
PF0,1.71,CCCCCCCCC(CCCCCC)Cc1cc2sc(-c3c4cc(-c5sc(-c6ccc(-c7cc(CC(CC)CCCC)c(C)s7)c7nsnc67)cc5CC(CC)CCCC)sc4c(-c4cc5sc(CC(CCCCCC)CCCCCCCC)cc5s4)c4cc(C)sc34)cc2s1,Cc1cc2c(-c3cc4sccc4s3)c3sc(cc3c(-c3cc4sccc4s3)c2s1)-c1sc(cc1C)-c1ccc(-c2cc(C)c(s2)-c2cc3c(-c4cc5sccc5s4)c4sc(cc4c(-c4cc5sccc5s4)c3s2)-c2sc(cc2C)-c2ccc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S433,1,0,0,0,0
PF1,1.69,CCCCCCCCC(CCCCCC)Cc1cc2sc(-c3c4cc(-c5sc(-c6c(F)cc(-c7cc(CC(CC)CCCC)c(C)s7)c7nsnc67)cc5CC(CC)CCCC)sc4c(-c4cc5sc(CC(CCCCCC)CCCCCCCC)cc5s4)c4cc(C)sc34)cc2s1,Cc1cc2c(-c3cc4sccc4s3)c3sc(cc3c(-c3cc4sccc4s3)c2s1)-c1sc(cc1C)-c1c(F)cc(-c2cc(C)c(s2)-c2cc3c(-c4cc5sccc5s4)c4sc(cc4c(-c4cc5sccc5s4)c3s2)-c2sc(cc2C)-c2c(F)cc(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S433,1,0,0,0,0
PBDTT-ttTPD,1.87,CCCCCCCCc1c(C)sc2cc(-c3sc(-c4cc5sc(-c6cc7c(-c8ccc(CC(CC)CCCC)s8)c8sc(C)cc8c(-c8ccc(CC(CC)CCCC)s8)c7s6)c(CCCCCCCC)c5s4)c4c3C(=O)N(CC(CCCCCC)CCCCCCCC)C4=O)sc12,CN1C(=O)c2c(sc(-c3cc4sc(-c5cc6c(-c7cccs7)c7sc(C)cc7c(-c7cccs7)c6s5)c(C)c4s3)c2C1=O)-c1cc2sc(C)c(C)c2s1,S448,1,0,0,0,0
PF2,1.75,CCCCCCCCC(CCCCCC)Cc1cc2sc(-c3c4cc(-c5sc(-c6c(F)c(F)c(-c7cc(CC(CC)CCCC)c(C)s7)c7nsnc67)cc5CC(CC)CCCC)sc4c(-c4cc5sc(CC(CCCCCC)CCCCCCCC)cc5s4)c4cc(C)sc34)cc2s1,Cc1cc2c(-c3cc4sccc4s3)c3sc(cc3c(-c3cc4sccc4s3)c2s1)-c1sc(cc1C)-c1c(F)c(F)c(-c2cc(C)c(s2)-c2cc3c(-c4cc5sccc5s4)c4sc(cc4c(-c4cc5sccc5s4)c3s2)-c2sc(cc2C)-c2c(F)c(F)c(-c3cc(C)c(C)s3)c3nsnc23)c2nsnc12,S433,1,0,0,0,0
P(BDT-TT-HBT),1.7,CCCCCCCCCC[C@@H](CCCCCCCC)COc1c2cc(-c3sc4cc(-c5ccc(-c6cc7sc(C)c(CCCCCC)c7s6)c6nsnc56)sc4c3CCCCCC)sc2c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1sc2cc(sc2c1C)-c1ccc(-c2cc3sc(-c4cc5c(OC)c6sc(cc6c(OC)c5s4)-c4sc5cc(sc5c4C)-c4ccc(-c5cc6sc(C)c(C)c6s5)c5nsnc45)c(C)c3s2)c2nsnc12,S80,1,0,0,0,0
P4,1.85,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)c2c(-c3cc4sc(C)c(CCCCCC)c4s3)sc(-c3cc4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)c(CCCCCC)c4s3)c2C1=O,CN1C(=O)c2c(sc(-c3cc4sc(-c5cc6c(-c7cccs7)c7sc(C)cc7c(-c7cccs7)c6s5)c(C)c4s3)c2C1=O)-c1cc2sc(C)c(C)c2s1,S47,1,0,0,0,0
PIDTT-T-DFBT,1.77,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(-c6sc(C)cc6CCCCCC)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(-c4sc(-c5c(F)c(F)c(C)c6nsnc56)cc4CCCCCC)sc23)cc1,Cc1cc(C)c(s1)-c1cc2sc3-c4cc5c(cc4C(c3c2s1)(c1ccccc1)c1ccccc1)-c1sc2cc(sc2c1C5(c1ccccc1)c1ccccc1)-c1sc(cc1C)-c1c(F)c(F)c(C)c2nsnc12,S344,0,0,0,1,0
IsoC10,1.55,CCCCCCCCCCc1cc(C)sc1-c1ccc(-c2sc(-c3ccc4c(c3)N(CC(CCCCCC)CCCCCCCC)C(=O)/C4=C3/C(=O)N(CC(CCCCCC)CCCCCCCC)c4cc(C)ccc43)cc2CCCCCCCCCC)s1,CN1C(=O)\C(=C2\C(=O)N(C)c3cc(ccc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2ccc3\C(C(=O)N(C)c3c2)=C2/C(=O)N(C)c3cc(ccc23)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(C)cc2C)c2ccc(C)cc12,S99,0,0,0,0,1
P(BDT-TT-FBT),1.73,CCCCCCCCCC[C@@H](CCCCCCCC)COc1c2cc(-c3sc4cc(-c5c(F)c(F)c(-c6cc7sc(C)c(CCCCCC)c7s6)c6nsnc56)sc4c3CCCCCC)sc2c(OC[C@H](CCCCCCCC)CCCCCCCCCC)c2cc(C)sc12,COc1c2cc(sc2c(OC)c2cc(C)sc12)-c1sc2cc(sc2c1C)-c1c(F)c(F)c(-c2cc3sc(C)c(C)c3s2)c2nsnc12,S80,1,0,0,0,0
PBDPP-3,1.43,CCCCCCCCC(CCCCCC)CN1C(=O)C2=C(c3cc4sc(-c5cc6c(-c7ccc(CC(CC)CCCC)s7)c7sc(C)cc7c(-c7ccc(CC(CC)CCCC)s7)c6s5)cc4s3)N(CC(CCCCCC)CCCCCCCC)C(=O)C2=C1c1cc2sc(C)cc2s1,CN1C(=O)C2=C(N(C)C(=O)C2=C1c1cc2sc(C)cc2s1)c1cc2sc(cc2s1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1,S45,1,0,0,0,0
PBDTDPPcbp,1.82,CCCCC(CC)COc1c2cc(-c3ccc(C4=C5C(=O)N(CCCCCCCCCCCCc6ccc(-c7ccc(C#N)cc7)cc6)C(c6ccc(C)s6)=C5C(=O)N4CCCCCCCCCCCCc4ccc(-c5ccc(C#N)cc5)cc4)s3)sc2c(OCC(CC)CCCC)c2cc(C)sc12,COc1c2cc(C)sc2c(OC)c2cc(sc12)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(s1)-c1cc2c(OC)c3sc(cc3c(OC)c2s1)-c1ccc(s1)C1=C2C(=O)N(C)C(=C2C(=O)N1C)c1ccc(C)s1,S262,1,0,0,0,0
PBDTBTz-T,1.89,CCCCCCCCCc1nc(-c2nc(CCCCCCCCC)c(-c3ccc(-c4cc5c(-c6cc(CCCCCCCC)c(CCCCCCCC)s6)c6sc(C)cc6c(-c6cc(CCCCCCCC)c(CCCCCCCC)s6)c5s4)s3)s2)sc1-c1ccc(C)s1,Cc1ccc(s1)-c1sc(nc1C)-c1nc(C)c(s1)-c1ccc(s1)-c1cc2c(-c3cccs3)c3sc(cc3c(-c3cccs3)c2s1)-c1ccc(s1)-c1sc(nc1C)-c1nc(C)c(s1)-c1ccc(s1)-c1cc2c(-c3cccs3)c3sc(C)cc3c(-c3cccs3)c2s1,S450,1,0,0,0,0
MBDT2,1.9,CCCCCCCCOc1c(OCCCCCCCC)c(-c2cc(CCCCCCCC)c(-c3cc4c(OCC(CC)CCCC)c5sc(C)cc5c(OCC(CC)CCCC)c4s3)s2)c2nc3c(nc2c1-c1cc(CCCCCCCC)c(C)s1)-c1cccc2cccc-3c12,COc1c(OC)c(-c2cc(C)c(s2)-c2cc3c(OC)c4sc(cc4c(OC)c3s2)-c2sc(cc2C)-c2c(OC)c(OC)c(-c3cc(C)c(s3)-c3cc4c(OC)c5sc(C)cc5c(OC)c4s3)c3nc-4c(nc23)-c2cccc3cccc-4c23)c2nc-3c(nc2c1-c1cc(C)c(C)s1)-c1cccc2cccc-3c12,S300,1,0,0,0,0
